Player,1st,2nd,3rd,4th,5th,total
Giannis Antetokounmpo,78,23,0,0,0,941
James Harden,23,78,0,0,0,776
Paul George,0,0,58,19,9,356
Nikola Jokic,0,0,16,39,15,212
Stephen Curry,0,0,16,25,20,175
Damian Lillard,0,0,3,6,36,69
Joel Embiid,0,0,4,6,11,49
Kevin Durant,0,0,2,4,3,25
Kawhi Leonard,0,0,2,0,3,8
Russell Westbrook,0,0,0,2,2,8
Rudy Gobert,0,0,0,0,1,1
LeBron James,0,0,0,0,1,1
