Player,1st,2nd,3rd,4th,5th,total
Giannis Antetokounmpo,85,16,0,0,0,962
LeBron James,16,84,1,0,0,753
James Harden,0,1,64,10,10,367
Luka Doncic,0,0,14,36,22,200
Kawhi Leonard,0,0,9,31,30,168
Anthony Davis,0,0,5,14,15,82
Chris Paul,0,0,3,1,8,26
Damian Lillard,0,0,1,4,6,23
Nikola Jokic,0,0,2,2,2,18
Pascal Siakam,0,0,2,1,4,17
Jimmy Butler,0,0,0,2,3,9
Jayson Tatum,0,0,0,0,1,1
