Voter Name,Affiliation,1st,2nd,3rd,4th,5th
Kevin Pelton,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Westbrook, Russell (OKC)"
Kristen Ledlow,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Durant, Kevin (GSW)"
Kurt Helin,NBCSports.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Lee Jenkins,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)"
Lisa Shen Yang,Tencent,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)"
Manny Navarro,Miami Herald,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Marc Berman,New York Post,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)"
Marc Kestecher,ESPN Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)"
Mark Jackson,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)"
Marv Albert,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)"
Matt Velazquez,Milwaukee Journal Sentinel,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Matt Winer,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Michael Grange,Rogers Sportsnet,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)"
Michael Wilbon,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Michelle Beadle,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)"
Mike Breen,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Mike Ganter,Toronto Sun,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","DeRozan, DeMar (TOR)"
NBA Fan Voting,,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)"
Nira Khurana,Excelsior,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)"
Paul Flannery,SB Nation,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)"
Rachel Nichols,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)"
Ramona Shelburne,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)"
Reggie Miller,Turner,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Ric Bucher,Bleacher Report,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Lillard, Damian (POR)","Davis, Anthony (NOP)"
Richard Walker,Gaston Gazette,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Rob Mahoney,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Rod Beard,Detroit News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)"
Ron Tillery,Memphis Commercial Appeal,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Lillard, Damian (POR)"
Rosalyn Gold‐Onwude,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Royce Young,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)"
Sam Amick,USA Today,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)"
Scott Bordow,Arizona Republic,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)"
Sean Deveney,The Sporting News,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)"
Sekou Smith,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)"
Sherrod Blakely,NBC Sports Boston,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)"
Stefan Bondy,New York Daily News,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)"
Steve Aschburner,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)"
Steve Smith,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)"
Thales Soares,Globoesporte.com,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)"
Tim Reynolds,Associated Press,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)"
TJ Manotoc,ABS‐CBN,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)"
Tony Jones,Salt Lake Tribune,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Curry, Stephen (GSW)","Lillard, Damian (POR)"
Vincent Goodwill,NBC Sports Chicago,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Weiping Zhang,CCTV,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)"
Will Guillory,New Orleans Times‐Picayune,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Xavier Vaution,BeIn Sport,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)"
Yoko Miyaji,Sports Graphic Number,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Zach Lowe,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
