Voter Name,Affiliation,1st,2nd,3rd,4th,5th
Ailene Voisin,Sacramento Bee,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Amin Elhassan,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Lillard, Damian (POR)"
Andrew Sharp,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)"
Anthony Slater,The Athletic,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)"
Ben Golliver,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)"
Bill Oram,Orange County Register,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Bill Simmons,The Ringer,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Oladipo, Victor (IND)"
Brent Barry,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)"
Brett Dawson,The Oklahoman,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)"
Brian Mahoney,Associated Press,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)"
Brian Windhorst,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)"
Cassidy Hubbarth,ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Chase Hughes,NBCSportsWashington.com,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)"
Chris Broussard,Fox Sports,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Lillard, Damian (POR)"
Chris Haynes,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)"
Chris Mannix,Yahoo!,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)"
Chris Webber,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)","Davis, Anthony (NOP)"
Clifton Brown,Indianapolis Star,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)"
Connor Letourneau,San Francisco Chronicle,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)"
Dave McMenamin,ESPN.com,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
David Aldridge,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Westbrook, Russell (OKC)"
Davide Chinellato,La Gazzetta dello Sport,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Dennis Scott,Turner,"Harden, James (HOU)","James, LeBron (CLE)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)"
Diego Martínez Cabrera,Periódico Reforma,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)"
Doris Burke,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Eddie Sefko,Dallas Morning News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)"
Elliott Teaford,Southern California News Group,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)"
Ernie Johnson,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)"
Flavio Tranquillo,Sky Italia,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Curry, Stephen (GSW)"
Frank Isola,Sirius Radio/New York Daily News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)"
Gary Washburn,Boston Globe,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Oladipo, Victor (IND)"
Gina Mizell,Denver Post,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)"
Greg Anthony,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)"
Greg Logan,Newsday,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)"
Howard Beck,Bleacher Report,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)"
Jackie MacMullan,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)"
Jalen Rose,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)"
Jared Greenberg,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)"
Jason Jones,Sacramento Bee,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Jason Lloyd,The Athletic,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)"
Jason Quick,NBC Sports Northwest,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)"
Jeff McDonald,San Antonio Express‐News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)"
Jeff Zillgitt,USA Today,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Lillard, Damian (POR)"
Jerry Zgoda,Minneapolis Star Tribune,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)"
Joe Cowley,Chicago Sun‐Times,"James, LeBron (CLE)","Harden, James (HOU)","Butler, Jimmy (MIN)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)"
John Schuhmann,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)"
Jon Barry,ESPN Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Justin Termine,Sirius Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)"
KC Johnson,Chicago Tribune,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Keith Pompey,Philadelphia Inquirer,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Lillard, Damian (POR)"
Kevin Arnovitz,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)"
Kevin Harlan,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)"
Kevin O'Connor,The Ringer,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Aldridge, LaMarcus (SAS)","Antetokounmpo, Giannis (MIL)"
