Player,1st,2nd,3rd,4th,5th,total
Russell Westbrook,69,19,13,0,0,888
James Harden,22,69,10,0,0,753
Kawhi Leonard,9,9,52,28,3,500
LeBron James,1,4,19,63,11,333
Isaiah Thomas,0,0,4,8,37,81
Stephen Curry,0,0,3,1,34,52
John Wall,0,0,0,1,4,7
Giannis Antetokounmpo,0,0,0,0,7,7
Anthony Davis,0,0,0,0,2,2
Kevin Durant,0,0,0,0,2,2
DeMar DeRozan,0,0,0,0,1,1
