Voter Name,Affiliation,1st,2nd,3rd,4th,5th
David Aldridge,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Durant, Kevin (G.S.)"
Davide Chinellato,LaGazetta Dello Sport,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Dennis Scott,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Durant, Kevin (G.S.)"
Doris Burke,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Doug Collins,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Doug Haller,Arizona Republic,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Doug Smith,The Toronto Star,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Eddie Sefko,Dallas Morning News,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Erik Horne,The Oklahoman,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Ernie Johnson,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Flavio Tranquillo,Sky Italia,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Fran Blinebury,NBA.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Frank Isola,Sirius Radio/New York Daily News,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Gary Washburn,Boston Globe,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)"
Howard Beck,Bleacher Report,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Hubie Brown,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)"
J Michael Falgoust,CSN Washington,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)"
JA Adande,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Jackie MacMullan,ESPN.com,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)"
Jacques Monclar,BEIN Sport,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)"
Jalen Rose,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Jared Greenberg,Turner,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)"
Jason Jones,Sacramento Bee,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Jeff Zillgitt,USA Today,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)"
Jerry Zgoda,Minneapolis Star-Tribune,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Joe Freeman,The Oregonian,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)"
Joe Vardon,Cleveland.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
John Schuhmann,NBA.com,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)"
Jon Barry,ESPN Radio,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Jon Krawczynski,Associated Press,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)"
Justin Termine,Sirius XM,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Justin Verrier,ESPN.com,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
KC Johnson,Chicago Tribune,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)"
Keith Pompey,Philadelphia Inquirer,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Kevin Arnovitz,ESPN.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Kevin Ding,Bleacher Report,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Curry, Stephen (G.S.)","Leonard, Kawhi (S.A.)"
Kevin Harlan,Turner,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Kevin O'Connor,The Ringer,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)"
Kristen Ledlow,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Kurt Helin,NBCSports.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Lang Whitaker,NBA.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Lee Jenkins,Sports Illustrated,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)"
Lisa Shen Yang,Tencent,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Curry, Stephen (G.S.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)"
Manny Navaro,Miami Herald,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Marc  Berman,New York Post,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)"
Marc Kestecher,ESPN Radio,"Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Marc Spears,The Undefeated,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)"
Marc Stein,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Marcelo Nogueira,Ole,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)"
Mark Jackson,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Mark Medina,LA Daily News,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Matt Moore,CBSSports.com,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)"
Matt Winer,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Michael Grange,Rogers Sportsnet,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)"
Michael Wilbon,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Michelle Beadle,ABC/ESPN,"Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Mike Breen,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Nate Taylor,Indianapolis Star,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
NBA Fan Voting,,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)"
Nira Khurana,Excelsior,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Paul Flannery,SB Nation,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Rachel Nichols,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)"
Ramona Shelburne,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Reggie Miller,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)"
Ric Bucher,Bleacher Report,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)"
Richard Walker,Gaston Gazette,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)"
Rod Beard,Detroit News,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Ron Tillery,Memphis Commercial-Appeal,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Royce Young,ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Curry, Stephen (G.S.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)"
Ryan Wolstat,Toronto Sun,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)"
Sage Steele,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Sam Amick,USA Today,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Sean Deveney,The Sporting News,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)"
Sekou Smith,NBA.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Sherrod Blakely,CSN New England,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)"
Steve Aschburner,NBA.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Steve Kyler,Basketball Insiders,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Steve Smith,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)"
Tim Reynolds,Associated Press,"James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)"
TJ Manotoc,ABC-CBN,"Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)"
Tony Jones,Salt Lake Tribune,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)"
Vince Goodwill,CSN Chicago,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)"
Weiping Zhang,CCTV,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Yoko Miyaji,Sports Graphic Number,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
Zach Lowe,ESPN.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)"
