Voter Name,Affiliation,1st,2nd,3rd,4th,5th
"Albert, Marv",Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)"
"Amick, Sam",The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)"
"Anderson, Jason",Sacramento Bee,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)"
"Anthony, Greg",Turner,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Paul, Chris (OKC)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)"
"Arnovitz, Kevin",ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)"
"Aschburner, Steve",NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Paul, Chris (OKC)"
"Bancharel, Antoine",Canal+ Afrique,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Harden, James (HOU)"
"Bao, Renjun",Tencent,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)"
"Barnes, Evan",Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)"
"Barry, Jon",ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)"
"Beard, Rod",Detroit News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Doncic, Luka (DAL)"
"Beck, Howard",Bleacher Report,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)"
"Berman, Marc",New York Post,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)"
"Bontemps, Tim",ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Paul, Chris (OKC)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)"
"Breen, Mike",ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)"
"Broussard, Chris",Fox Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Harden, James (HOU)"
"Bucher, Ric",Bleacher Report,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Harden, James (HOU)","Butler, Jimmy (MIA)"
"Burke, Doris",ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)"
"Charania, Shams",The Athletic/Stadium,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)"
"Chiang, Anthony",Miami Herald,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)"
